施工類型,施工單位,施工路段,起日,迄日,區名,里名,經度,緯度
道路更新,新工處,113年度萬華區大理街(大理街161號至185號及大理街130巷至160巷)溝蓋更新工程,2024-04-08 00:00:00+08,2024-05-04 23:59:59+08,萬華區,富福里,121.50271500530778,25.034721980353225
道路更新,新工處,民生東路3段73巷,2024-03-28 00:00:00+08,2024-12-31 23:59:59+08,中山區,江山里,121.54351791633361,25.05789974629196
道路更新,新工處,113年度內湖區五分街14巷及康寧路3段245巷（康寧路3段至五分街14巷）路面更新工程,2024-04-22 00:00:00+08,2024-05-05 23:59:59+08,內湖區,葫洲里,121.60643359721007,25.07273990431463
道路更新,新工處,113年度大同區民族西路225巷(全線)路面更新工程,2024-04-20 00:00:00+08,2024-05-02 23:59:59+08,大同區,國慶里,121.51230726805117,25.068759693057437
道路更新,新工處,通安里臨江街118巷3弄鋪面更新,2024-06-01 00:00:00+08,2024-07-15 23:59:59+08,大安區,通安里,121.55369265077343,25.030039954013205
道路更新,新工處,通安里通化街162巷溝蓋及道路更新,2024-06-01 00:00:00+08,2024-06-30 23:59:59+08,大安區,通安里,121.55323683322321,25.028612727827856
道路更新,新工處,113年度內湖區成功路5段450巷路面更新工程,2024-04-26 00:00:00+08,2024-05-08 23:59:59+08,內湖區,金湖里,121.60693196568032,25.074660757167077
人行道更新,新工處,士林區士林高級商業職業學校側門斜坡道改善工程,2024-04-17 00:00:00+08,2024-04-26 23:59:59+08,士林區,福林里,121.5256971,25.0950356
道路更新,新工處,臨江街,2024-04-15 00:00:00+08,2024-04-28 23:59:59+08,大安區,通化里,121.55526595827226,25.029931383153414
道路更新,新工處,113年度南港區興中路44巷全巷路面更新工程,2024-08-01 00:00:00+08,2024-08-13 23:59:59+08,南港區,南港里,121.6070410304208,25.05613525384908
道路更新,新工處,113年度中山區長安東路2段(松江路至吉林路)路面更新工程,2024-06-01 00:00:00+08,2024-06-16 23:59:59+08,中山區,興亞里,121.5327069636121,25.046284983421813
道路更新,新工處,113年度內湖區民權東路6段90巷25弄及120巷7弄路面更新工程,2024-05-08 00:00:00+08,2024-05-23 23:59:59+08,內湖區,湖元里,121.58610684270295,25.06734885573713
道路更新,新工處,113年度內湖區內湖路3段60巷路面更新工程,2024-04-22 00:00:00+08,2024-05-05 23:59:59+08,內湖區,內湖里,121.59282551953649,25.08450774633345
道路更新,新工處,內湖路1段323巷21弄（雙側）,2024-04-22 00:00:00+08,2024-05-31 23:59:59+08,內湖區,西湖里,121.56834049763837,25.08389934079111
道路更新,新工處,113年度大同區大龍街187巷(大龍街187巷1號前T字路口)設置彩色壓花瀝青鋪面工程,2024-04-18 00:00:00+08,2024-05-11 23:59:59+08,大同區,至聖里,121.51676458377239,25.069321680380654
